readable,original
idx,idx
id,id
child_cnt,How many children do you have?
has_child_been_bitten,Have any of your children ever been bitten by one or more of your dog(s)?
child_id,The next questions should be answered for one child's experience. Please give the child's first name or initial
child_sex,What gender is {{field:6957a284-41a8-43d8-985b-604401786234}}?
child_age_at_bite,How old was {{field:6957a284-41a8-43d8-985b-604401786234}} at the time of the bite?
personality_at_bite__shy,Shy
personality_at_bite__quiet,Quiet
personality_at_bite__calm,Calm
personality_at_bite__good_listener,Good Listener
personality_at_bite__outgoing,Outgoing
personality_at_bite__energetic,Energetic
personality_at_bite__difficulty_with_impulse_control,Difficulty with impulse control
personality_at_bite__emotional,Emotional
personality_at_bite__loud,Loud
personality_at_bite__aggressive,Aggressive
personality_at_bite__happy,Happy
personality_at_bite__other,Other
desc_action_prior_to_bite,Which of the following best describes the actions prior to the bite?
dog_behavior_prior_to_bite__air_snapped,Air-Snapped
dog_behavior_prior_to_bite__bared_teeth_lifted_lips,Bared Teeth/Lifted Lips
dog_behavior_prior_to_bite__barked,Barked
dog_behavior_prior_to_bite__cowered_away,Cowered Away
dog_behavior_prior_to_bite__growled,Growled
dog_behavior_prior_to_bite__lunged,Lunged
dog_behavior_prior_to_bite__raised_hackles, Raised Hackles (fur on their back)
dog_behavior_prior_to_bite__tucked_tail,Tucked Tail
dog_behavior_prior_to_bite__whale_eye,"Whale Eye (whites of the dog's eyes are showing, like a slide-eye look)"
dog_behavior_prior_to_bite__none,None
dog_behavior_prior_to_bite__other,Other.1
triggered_bite__hugged_the_dog,Hugged the dog
triggered_bite__pet_head,Pet the dog on the head
triggered_bite__pet_legs_paws,Pet the dog on its legs or paws
triggered_bite__belly_rub,Gave the dog a belly rub
triggered_bite__approached_dog_with_toy,Approached the dog while it had a toy
triggered_bite__approached_dog_while_eating,Approached the dog while it was eating or near its food bowl
triggered_bite__approached_dog_while_chewing,"Approached the dog while it was chewing a bone, rawhide, or treat"
triggered_bite__approached_dog_while_sleeping,"Approached the dog while it was on it's bed, in it's crate, or sleeping"
triggered_bite__picked_up_dog,Picked the dog up
triggered_bite__ran_at_dog,Ran toward the dog
triggered_bite__child_running,Child was running around
triggered_bite__stepped_fell_on_dog,Stepped or fell on the dog
triggered_bite__restrained_dog,Tried to stop the dog from doing something (restraining the dog)
triggered_bite__touch_collar,Put on or take off its collar
triggered_bite__no_obvious_trigger,No obvious trigger
triggered_bite__other,Other.2
was_dog_leashed,Was the dog leashed or tethered when the bite occurred?
bite_location__arms,Arms
bite_location__back,Back
bite_location__face,Face
bite_location__feet,Feet
bite_location__hands,Hands
bite_location__head,Head
bite_location__legs,Legs
bite_location__torso,Torso
bite_location__other,Other.3
bite_severity,What was the severity of the bite?
bite_severity__other,Other.4
dog_age_at_bite,How old was the dog?
dog_sex,What gender was the dog?
dog_breed_category,What best describes the dog's breed?
dog_purebred_breed,What breed?
dog_hybrid_breed__affenpinscher,Affenpinscher
dog_hybrid_breed__afghan_hound,Afghan Hound
dog_hybrid_breed__airedale_terrier,Airedale Terrier
dog_hybrid_breed__akita,Akita
dog_hybrid_breed__alaskan_malamute,Alaskan Malamute
dog_hybrid_breed__american_english_coonhound,American English Coonhound
dog_hybrid_breed__american_eskimo,American Eskimo
dog_hybrid_breed__american_foxhound,American Foxhound
dog_hybrid_breed__american_hairless_terrier,American Hairless Terrier
dog_hybrid_breed__american_staffordshire_terrier,American Staffordshire Terrier
dog_hybrid_breed__american_water_spaniel,American Water Spaniel
dog_hybrid_breed__anatolian_sheepdog,Anatolian Sheepdog
dog_hybrid_breed__australian_cattle_dog,Australian Cattle Dog
dog_hybrid_breed__australian_shepherd,Australian Shepherd
dog_hybrid_breed__australian_terrier,Australian Terrier
dog_hybrid_breed__basenji,Basenji
dog_hybrid_breed__basset_hound,Basset Hound
dog_hybrid_breed__beagle,Beagle
dog_hybrid_breed__bearded_collie,Bearded Collie
dog_hybrid_breed__beauceron,Beauceron
dog_hybrid_breed__bedlington_terrier,Bedlington Terrier
dog_hybrid_breed__belgian_laekenois,Belgian Laekenois
dog_hybrid_breed__belgian_malinois,Belgian Malinois
dog_hybrid_breed__belgian_sheepdog,Belgian Sheepdog
dog_hybrid_breed__belgian_tervuren,Belgian Tervuren
dog_hybrid_breed__bergamasco,Bergamasco
dog_hybrid_breed__berger_picard,Berger Picard
dog_hybrid_breed__bernese_mountain_dog,Bernese Mountain Dog
dog_hybrid_breed__bichon_frise,Bichon Frise
dog_hybrid_breed__black_and_tan_coonhound,Black And Tan Coonhound
dog_hybrid_breed__black_russian_terrier,Black Russian Terrier
dog_hybrid_breed__bluetick_coonhound,Bluetick Coonhound
dog_hybrid_breed__bloodhound,Bloodhound
dog_hybrid_breed__boerboel,Boerboel
dog_hybrid_breed__border_collie,Border Collie
